id,name,entity_type,display_name,first_seen,last_seen,mention_count,user_override,is_consultant,is_client
14491,Knight-Georgetown Institute’s Alissa Cooper,organization,Knight-Georgetown Institute’s Alissa Cooper,2025-10-09 00:00:00,2025-10-09 00:00:00,1,False,False,False
13648,Troy Fitrell,person,Troy Fitrell,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,False
13649,Sergio de la Peña,unknown,Sergio de la Peña,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,False
13650,Morgan W. W. Murphy,unknown,Morgan W. W. Murphy,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,False
13651,Scott MacLeod,person,Scott MacLeod,2025-10-15 00:00:00,2025-10-15 00:00:00,1,True,False,False
6799,G2G Consulting,organization,G2G Consulting,2025-10-15 00:00:00,2026-01-21 00:00:00,9,False,True,False
13652,American Corporate Partners,organization,American Corporate Partners,2025-10-15 00:00:00,2025-10-15 00:00:00,2,False,True,True
13653,"Ametek, Inc.",organization,"Ametek, Inc.",2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
12483,George Pulizzi,person,George Pulizzi,2025-10-29 00:00:00,2025-10-30 00:00:00,2,False,False,False
12490,Rachel McCleery,person,Rachel McCleery,2025-10-30 00:00:00,2025-10-30 00:00:00,1,False,False,False
13698,Astrazeneca Pharmaceuticals Lp,organization,Astrazeneca Pharmaceuticals Lp,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13699,"Compass Therapeutics, Inc.",organization,"Compass Therapeutics, Inc.",2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13700,Dc Charter Schools Action,organization,Dc Charter Schools Action,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13701,"Geneoscopy, Inc.",organization,"Geneoscopy, Inc.",2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13702,Kaleo,organization,Kaleo,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13703,"Lynch Regenerative Medicine, LLC",organization,"Lynch Regenerative Medicine, LLC",2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13704,Milliporesigma,organization,Milliporesigma,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13705,"Vial Health Technology, Inc.",organization,"Vial Health Technology, Inc.",2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13706,Aesthetic Medical Providers Of New Hampshire,organization,Aesthetic Medical Providers Of New Hampshire,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13723,Residential Solar Association,organization,Residential Solar Association,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
13724,Cypress Creek Renewables,organization,Cypress Creek Renewables,2025-10-15 00:00:00,2025-10-15 00:00:00,1,False,False,True
9249,Mesabi Metallics Company LLC,organization,Mesabi Metallics Company LLC,2026-01-06 00:00:00,2026-01-06 00:00:00,1,False,False,True
9250,Milacron Holdings Corp,organization,Milacron Holdings Corp,2026-01-06 00:00:00,2026-01-06 00:00:00,1,False,False,True
11743,Vibrant Planet Pbc,organization,Vibrant Planet Pbc,2025-10-17 00:00:00,2025-11-14 00:00:00,4,False,False,True
11656,Belcher Pharmaceuticals LLC,organization,Belcher Pharmaceuticals LLC,2025-11-14 00:00:00,2025-11-14 00:00:00,1,False,False,True
8678,Constellium U.S. Holdings (Fka Constellium Paris),organization,Constellium U.S. Holdings (Fka Constellium Paris),2026-01-13 00:00:00,2026-01-13 00:00:00,1,False,False,True
8331,Starkey,unknown,Starkey,2026-01-14 00:00:00,2026-01-14 00:00:00,1,False,False,False
13271,American Board Of Medical Specialties,organization,American Board Of Medical Specialties,2025-10-15 00:00:00,2025-10-20 00:00:00,2,False,False,True
13272,Psi Services LLC,organization,Psi Services LLC,2025-10-20 00:00:00,2025-10-20 00:00:00,1,False,False,True
13273,"Bendito Resources, Inc.",organization,"Bendito Resources, Inc.",2025-10-20 00:00:00,2025-10-20 00:00:00,1,False,False,True
13274,"Kraken Technologies Consulting, LLC",organization,"Kraken Technologies Consulting, LLC",2025-10-20 00:00:00,2025-10-20 00:00:00,1,False,False,True
13276,Central Indiana Regional Transportation Authority,organization,Central Indiana Regional Transportation Authority,2025-10-20 00:00:00,2025-10-20 00:00:00,1,False,False,True
14876,Donohoe Commercial Real Estate,organization,Donohoe Commercial Real Estate,2025-12-10 00:00:00,2025-12-18 00:00:00,2,False,False,True
14865,Goldco,organization,Goldco,2025-11-20 00:00:00,2025-12-18 00:00:00,2,False,False,True
7329,"Covenant Government Affairs, LLC",organization,"Covenant Government Affairs, LLC",2025-10-16 00:00:00,2026-01-20 00:00:00,23,False,True,False
7347,Wakpamni Lake Community Corporation- Arrowhead Advance,organization,Wakpamni Lake Community Corporation- Arrowhead Advance,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7355,Arashi Vision (U.S.) LLC,organization,Arashi Vision (U.S.) LLC,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7356,Yazaki North America,organization,Yazaki North America,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7357,"Citigroup Washington, Inc.",organization,"Citigroup Washington, Inc.",2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7359,Hoffman Engineering,organization,Hoffman Engineering,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
9261,"American Family Mutual Insurance Company, S.I.",organization,"American Family Mutual Insurance Company, S.I.",2026-01-06 00:00:00,2026-01-06 00:00:00,1,False,False,True
9296,Rjl Solutions,organization,Rjl Solutions,2026-01-06 00:00:00,2026-01-06 00:00:00,1,False,True,False
7362,Auction.Com,organization,Auction.Com,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7365,"Secure Texas Enterprise Partners Gp, LLC",organization,"Secure Texas Enterprise Partners Gp, LLC",2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
9305,Tron Dao,organization,Tron Dao,2026-01-06 00:00:00,2026-01-06 00:00:00,2,False,True,True
9318,Advantage Capital,organization,Advantage Capital,2026-01-05 00:00:00,2026-01-06 00:00:00,2,False,False,True
8601,Evan Chance Coalition,organization,Evan Chance Coalition,2026-01-13 00:00:00,2026-01-13 00:00:00,1,False,False,True
7366,Inertia Enterprises Inc.,organization,Inertia Enterprises Inc.,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7369,Hispanic Chamber Of Commerce Of Wisconsin,organization,Hispanic Chamber Of Commerce Of Wisconsin,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7370,Technosylva,organization,Technosylva,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7372,"Guide Consulting Services, Inc.",organization,"Guide Consulting Services, Inc.",2025-10-23 00:00:00,2026-01-20 00:00:00,3,False,True,False
7373,Chestnut Health Systems,organization,Chestnut Health Systems,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7374,Rocket Lab Corporation,organization,Rocket Lab Corporation,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7382,Air Space Intelligence Inc.,organization,Air Space Intelligence Inc.,2025-12-15 00:00:00,2026-01-20 00:00:00,3,False,True,True
7383,Furientis Inc.,organization,Furientis Inc.,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7384,Space Kinetic Corp.,organization,Space Kinetic Corp.,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7403,"Kountoupes Denham Carr & Reid, LLC",organization,"Kountoupes Denham Carr & Reid, LLC",2025-10-15 00:00:00,2026-01-20 00:00:00,4,False,True,False
14927,The Livingston Group,organization,The Livingston Group,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,True,False
7420,Smartworx,organization,Smartworx,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
6572,"Becker & Poliakoff, P.A.",organization,"Becker & Poliakoff, P.A.",2025-10-03 00:00:00,2026-01-22 00:00:00,42,False,True,False
7577,Purdue Pharma LLP,organization,Purdue Pharma LLP,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7578,Capitol Hill Partners,organization,Capitol Hill Partners,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,True,False
7579,Tremont Strategies Group (F/K/A Ads Ventures Inc),organization,Tremont Strategies Group (F/K/A Ads Ventures Inc),2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7580,"Capitol South, LLC",organization,"Capitol South, LLC",2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,True,False
7581,"Tiger Century Aircraft, Inc.",organization,"Tiger Century Aircraft, Inc.",2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7593,U.S. Composting Council,organization,U.S. Composting Council,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7602,Fellowship Square,organization,Fellowship Square,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7603,Chevron Phillips Chemical Company Lp,organization,Chevron Phillips Chemical Company Lp,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7604,Crosscountry Consulting,organization,Crosscountry Consulting,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7608,"Reworld Waste, LLC",organization,"Reworld Waste, LLC",2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7609,Solar Landscape,organization,Solar Landscape,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
3912,Checkmate Government Relations,organization,Checkmate Government Relations,2025-10-21 00:00:00,2026-02-26 00:00:00,54,False,True,False
7613,Monte Valle Energy LLC,organization,Monte Valle Energy LLC,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7617,Ptc Inc.,organization,Ptc Inc.,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7616,"Coaspire, LLC",organization,"Coaspire, LLC",2025-11-10 00:00:00,2026-01-20 00:00:00,3,False,True,False
7618,U.S. Naval Sea Cadet Corps,organization,U.S. Naval Sea Cadet Corps,2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
7619,Cogent Strategies LLC,organization,Cogent Strategies LLC,2025-10-09 00:00:00,2026-01-20 00:00:00,2,False,True,False
7620,Berea College (Through Penn Hill Group),organization,Berea College (Through Penn Hill Group),2026-01-20 00:00:00,2026-01-20 00:00:00,1,False,False,True
