id,filing_id,general_issue_code,general_issue_code_display,description,specific_issues,government_entities,lobbyists
5504,2751,TOR,Torts,"HR40: DC CASE 1:24 CV 00479 RC/ DC COURT OF APPEALS 24-5263 ACT- JUDGEMENT/ORDER FOR PLAINTIFF APPROVE MAX BILL OF COST AS DEMANDED ON ALL MOTIONS PRESENTED HR 40: INVOLUNTARY BANKRUPTCY AND FEDARAL CLAIMS COURT MAILED AND RCVD MARCH 10, 2025 CLEMENT VS THE USA JUDGEMENT/ORDER FOR PLAINTIFF APPROVE MAX BILL OF COST AS DEMANDED ON ALL MOTIONS PRESENTED",,"[{""id"": 5, ""name"": ""Government Accountability Office (GAO)""}, {""id"": 2, ""name"": ""HOUSE OF REPRESENTATIVES""}, {""id"": 37, ""name"": ""Justice, Dept of (DOJ)""}, {""id"": 1, ""name"": ""SENATE""}, {""id"": 95, ""name"": ""U.S. Commission on Civil Rights""}, {""id"": 12, ""name"": ""White House Office""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5505,2751,BAN,Banking,HR 40: ESTABLISHED CENTRAL BANK FOR BLACK USA; BUEAU OF ENGRAVING AND PRINTING TO PRINT LND AKA BLACK USD CURRENCY ON USD PAPER WITH AUTHORIZED FIGURES PROVIDED BY REV DR CHRISTINA CLEMENT TO BE SECURED AND CIRCULATED. (CASE 1:24 CV 00479 RC DOCUMENT 71 FILED 09042024 PG 1-16 UCC REF 044-2024-04422 AUTHENTICATION CODE NRL4T-5QG8C-PWHH 08/22/2024. ECONOMIC REPORT CAN ALSO BE PROVIDED,,"[{""id"": 185, ""name"": ""Bureau of Engraving & Printing""}, {""id"": 188, ""name"": ""Internal Revenue Service (IRS)""}, {""id"": 71, ""name"": ""Natl Credit Union Administration (NCUA)""}, {""id"": 1, ""name"": ""SENATE""}, {""id"": 41, ""name"": ""Treasury, Dept of""}, {""id"": 189, ""name"": ""U.S. Mint""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5506,2751,BUD,Budget/Appropriations,"HR40: PEDNING FILING INVOLUNTARY BANKRUPTCY & FEDRAL CLAIMS (CLEMENT VS THE USA) 1. FAILURE TO PAY CBO ALLOCATED $20 MILLION FOR COMPLETED RESEARCH ON HR 40: RESTITUTION FOR THE ILLEGAL KIDNAPPING DURING TRANS ATLANTIC SLAVE TRADE GENOCIED AND ITS GLOBAL CURRENT EFFECTS TO DATE. (B) ALL STATES WITH ""REPARATIONS?"" TASK FORCE (ALL GOVN DEPARTS -NO ANSWR, NO ANSWER EQUALS APPROVAL) 2. FAILURE TO PAY MAX BILL OF COST FOR DC CASE 1:24 CV 00479 RC AND (B) DC COURT OF APPEALS 24-5263 3. GLOBAL TRADEMARK LOGO AND WORKS PROTECTION 98253363 HH EMPRESS QUEEN CHRISTINA CLEMENT, LOCS IS OUR ARTIFACT OF FAITH 4.FEC FAILURE TO DISTRIBUTE 2024 PRESIDENTIAL CAMPAIGN FUNDS 0(07/16/2024 PURSUANT TO TITLE 26VC FEC FUNDS REPORT 5. FAILURE TO COMPLETE TRUSTEE DEED TRANSFER (AFFIDAVIT OF MAILING CASE 1:24 CV 00479 RC DOC 93 FILED 12/2/2024 PG 1-40 6. ESTABLISHED CENTRAL BANKS TO DISTRIBUTE LND AKA BLACK USD 7.CODIFY PROTECTIVE LAWS FOR THE MAJORITY AGAINST THE TYRANNY OF THE MINORITY (OVER 3K VICTIM STATEMENTS PROVIDED AND DISCOVERY ON THE MILLIONS OF OTHERS THROUGH 400+ YEARS OF HISTORY 8 EXPEDITE THE ACKNOWLEDGEMNT OF BEING A STATE OF LOC NATION GPBC AND BALCK USA AS RECOGNIZED OFFICIAL GOVERNMENT ENTITY. 9. FAILURE TO PAY PURSUANT TO THE SOLN RESTITUTION ACT: SETTLEMENT OF $500 QUADRILLION USD; LAND RETURN FOR 1.4 TRILLION WITH 50% INTEREST UNTIL COMPLETE. UCC REF 044-2024-004422 AUTHENTICATION CODE NRL4T 5QG8C PWHH 08/22/2024 138 PG; (B) UCC REF 044-2025-000334 AUTHENTICATION CODE FBGRX-DZTKF-EB8E 01/04/25 4 PGS",,"[{""id"": 30, ""name"": ""Army, Dept of (Other)""}, {""id"": 185, ""name"": ""Bureau of Engraving & Printing""}, {""id"": 148, ""name"": ""Bureau of Land Management (BLM)""}, {""id"": 190, ""name"": ""Bureau of the Public Debt""}, {""id"": 8, ""name"": ""Congressional Budget Office (CBO)""}, {""id"": 25, ""name"": ""Defense, Dept of (DOD)""}, {""id"": 2, ""name"": ""HOUSE OF REPRESENTATIVES""}, {""id"": 37, ""name"": ""Justice, Dept of (DOJ)""}, {""id"": 1, ""name"": ""SENATE""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5507,2751,CIV,Civil Rights/Civil Liberties,HR40: CODIFY ESTABLISHED LAWS TO PROTECT THE MAJORITY FROM THE TYRANNY OF THE MINORITY DC CASE 1:24 CV 00479 RC/ DC COURT OF APPEALS 24-5263/ US BANKRUPTCY COURT/ FEDERAL CLAIMS COURT 2. SOLN NATIONAL AND INTERNATIONAL PROTECTIVE ACT CASE 1:24 CV00479 RC DOCUMENT 48-54; ET AL AND DC COURT OF APPEALS ALL MOTIONS 3. PUBLISHED: REVEALED THE KINGDOM OF LOCS NAZIRITE VOW CONTINUES VOLUME 2 AUTHOR CHRISTINA CLEMENT (FOR INTERNATIONAL JURISDICTION (ICj)).,,"[{""id"": 190, ""name"": ""Bureau of the Public Debt""}, {""id"": 24, ""name"": ""Commerce, Dept of (DOC)""}, {""id"": 8, ""name"": ""Congressional Budget Office (CBO)""}, {""id"": 55, ""name"": ""Federal Election Commission (FEC)""}, {""id"": 6, ""name"": ""Government Printing Office (GPO)""}, {""id"": 2, ""name"": ""HOUSE OF REPRESENTATIVES""}, {""id"": 80, ""name"": ""Office of Government Ethics (OGE)""}, {""id"": 1, ""name"": ""SENATE""}, {""id"": 41, ""name"": ""Treasury, Dept of""}, {""id"": 103, ""name"": ""U.S. Institute of Peace""}, {""id"": 10, ""name"": ""Vice President of the U.S.""}, {""id"": 12, ""name"": ""White House Office""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5508,2751,COM,Communications/Broadcasting/Radio/TV,"HR 40: PUBLIC AWARENESS ON HISTORICAL CASE DC 1:24 CV 00479 RC AND DC COURT OF APPEALS 24-5263; CLEMENT VS THE USA ON INVOLUNTARY BANKRUPTCY AND 2024 PRESIDENTIAL CAMPAIGN FOR REV DR CHRISTINA CLEMENT 2. ANNOUNCE PRESIDENT OF BLACK USA, REV DR CHRISTINA CLEMENT",,"[{""id"": 8, ""name"": ""Congressional Budget Office (CBO)""}, {""id"": 53, ""name"": ""Federal Communications Commission (FCC)""}, {""id"": 55, ""name"": ""Federal Election Commission (FEC)""}, {""id"": 2, ""name"": ""HOUSE OF REPRESENTATIVES""}, {""id"": 1, ""name"": ""SENATE""}, {""id"": 12, ""name"": ""White House Office""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5509,2751,CON,Constitution,HR 40: ESTABLISHED BILL OF RIGHTS AND CONSTITUTION FOR STATE OF LOC NAATION GPBC ON BEHALF OF THE UNREPRESENTED. PROTECTIVE LAWS FOR THE MAJORITY AGAINST THE PROVEN TYRANNY OF THE MINORITY,,"[{""id"": 5, ""name"": ""Government Accountability Office (GAO)""}, {""id"": 2, ""name"": ""HOUSE OF REPRESENTATIVES""}, {""id"": 37, ""name"": ""Justice, Dept of (DOJ)""}, {""id"": 113, ""name"": ""Patent & Trademark Office (PTO)""}, {""id"": 1, ""name"": ""SENATE""}, {""id"": 12, ""name"": ""White House Office""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5510,2751,ART,Arts/Entertainment,"HR 40: ADD HISTROICAL EVENTS; HISTORY; SCHOOL CLASSES; ETC FOR THE ""UNREPRESENTED""",,"[{""id"": 214, ""name"": ""Advisory Council on Historic Preservation (ACHP)""}, {""id"": 185, ""name"": ""Bureau of Engraving & Printing""}, {""id"": 8, ""name"": ""Congressional Budget Office (CBO)""}, {""id"": 217, ""name"": ""Election Assistance Commission (EAC)""}, {""id"": 2, ""name"": ""HOUSE OF REPRESENTATIVES""}, {""id"": 7, ""name"": ""Library of Congress (LOC)""}, {""id"": 72, ""name"": ""Natl Foundation on the Arts & Humanities""}, {""id"": 1, ""name"": ""SENATE""}, {""id"": 250, ""name"": ""U.S. Commission of Fine Arts""}, {""id"": 207, ""name"": ""U.S. Copyright Office""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5511,2751,RES,Real Estate/Land Use/Conservation,HR 40; COMPLETE TRANSFER DEED SENT TO SEC OF STATE.,,"[{""id"": 148, ""name"": ""Bureau of Land Management (BLM)""}, {""id"": 2, ""name"": ""HOUSE OF REPRESENTATIVES""}, {""id"": 1, ""name"": ""SENATE""}, {""id"": 41, ""name"": ""Treasury, Dept of""}]","[{""lobbyist"": {""id"": 151423, ""prefix"": ""ms"", ""prefix_display"": ""MS."", ""first_name"": ""REV DR CHRISTINA"", ""nickname"": null, ""middle_name"": ""L"", ""last_name"": ""CLEMENT"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": ""President of Black USA"", ""new"": false}]"
5596,2795,PHA,Pharmacy,"Various issues facing the healthcare industry, including drug development regulation, health insurance regulation, and pharmaceutical industry regulation.",,[],"[{""lobbyist"": {""id"": 149011, ""prefix"": null, ""prefix_display"": null, ""first_name"": ""TUCKER"", ""nickname"": null, ""middle_name"": null, ""last_name"": ""BROWN"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": null, ""new"": true}]"
4346,2129,AGR,Agriculture,Wildfire preparedness,,[],"[{""lobbyist"": {""id"": 145480, ""prefix"": null, ""prefix_display"": null, ""first_name"": ""DAVID"", ""nickname"": null, ""middle_name"": null, ""last_name"": ""SPADY"", ""suffix"": null, ""suffix_display"": null}, ""covered_position"": null, ""new"": true}]"
