id,senate_id,name,description,address,country,state
1,61414,"NEXXUS CONSULTING, LLC",consulting firm,,US,VA
2,314738,GORDON THOMAS HONEYWELL GOVERNMENTAL AFFAIRS,lobbying firm,,US,DC
3,1171,"ALPINE GROUP PARTNERS, LLC.",Public relations consulting firm,,US,DC
4,401110198,SIERRA PACIFIC STRATEGIES,,,US,OR
5,401110179,ADAPTIVE GOVERNMENT RELATIONS,,,US,VA
6,67193,MORRISON PUBLIC AFFAIRS GROUP,Public affairs consulting firm,,US,MD
7,401109659,RJL SOLUTIONS,,,US,IN
8,401110209,"WGC USA, INC.",,,US,NY
9,401110211,"GLOBAL CONNECTION GROUP, LLC",,,US,VA
10,401109999,LOBBYING FOR IMPROVEMENTS,,,US,IL
11,401107311,"STRATEGIC CAPITOL GROUP, LLC",,,US,VA
12,401106013,"OSCAR POLICY GROUP, LLC",Lobbying firm.,,US,DC
13,401109383,CONVERGE PUBLIC STRATEGIES,,,US,FL
14,400382761,"RED MAPLE CONSULTING, LLC",Government affairs consulting,,US,VA
15,401107308,LODESTONE DC,,,US,VA
16,7257,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",Law firm,,US,DC
17,401108330,CHM LLC DBA ATLAS COMMUNITY STUDIOS,,,US,DC
18,401110219,AVISON STRATEGIES LLC,,,US,DC
19,400400892,"ATS COMMUNICATIONS, INC. (DBA SILBEY STRATEGIES)",Government Services,,US,DC
20,401103935,"SARAH BLACKWOOD GOVERNMENT RELATIONS, LLC",government relations consulting firm,,US,VA
21,401099066,PETRA STRATEGIES LLC,Consulting and Lobbying Firm,,US,VA
22,401106073,REVERE FEDERAL STRATEGIES,Strategic advisory and government relations firm for high-growth small businesses.,,US,MD
23,400745228,"PORTER GROUP, LLC",Government affairs and business consulting,,US,DC
24,401108659,ARK STRATEGY,,,US,MD
25,401104906,ATLAS CROSSING LLC,Consulting firm.,,US,DC
26,75570,J M BURKMAN & ASSOCIATES,Lobbying,,US,VA
27,401109900,CONFIDENT STRATEGY GROUP LLC,,,US,NY
28,401104281,A1.9 STRATEGIES LLC,lobbying and consulting services,,US,VA
29,323318,BRODY GROUP L.L.C. PUBLIC AFFAIRS,Public Affairs,,US,DC
30,401105597,FORWARD GLOBAL,Government Affairs and Consulting,,US,DC
31,401110180,VIRFIN SOLUTIONS LLC,,,US,ID
32,401106285,"CONTINENTAL STRATEGY, LLC",Governmental and Business Consulting,,US,DC
33,88575,SSA MARINE,,,US,WA
34,401105559,BRYANT SONGY SNELL LLC,consulting and lobbying,,US,MS
35,401110048,"TOWER STRATEGY, LLC",,,US,DC
36,401105212,PARK&K PUBLIC AFFAIRS LLC,government relations and public affairs,,US,NY
37,35230,SIDLEY AUSTIN LLP,law firm,,US,DC
38,400954758,SCHOENING STRATEGIES,Lobbying Firm,,US,DC
39,5357,BGR GOVERNMENT AFFAIRS,Lobbying firm,,US,DC
40,401110071,"EDWARD C. OLIVARES, LLC",,,US,VA
41,400383768,"JOHNSTON GROUP, LLC",Public affairs consulting company,,US,WA
42,401108855,"QUICKEL CONSULTING SERVICES, LLC",,,US,OH
43,39941,VENABLE LLP,Law firm,,US,DC
44,293335,"THE NICKLES GROUP, LLC",Consulting firm.,,US,DC
45,308811,LNE GROUP,Government affairs consulting,,US,OH
46,401110232,PARALLEL SYSTEMS,,,US,CA
47,401110225,DARLING INGREDIENTS INC.,,,US,TX
48,401104288,BALLARD PARTNERS,Government relations and advocacy services,,US,DC
49,401110191,"SPRING CARE, INC.",,,US,NY
50,401108563,HARO SOLUTIONS LLC,,,US,VA
51,401106778,"NEW FRONT STRATEGIES GROUP, LLC",,,US,VA
52,70175,"MERCURY PUBLIC AFFAIRS, LLC",lobbying,,US,DC
53,314911,POLSINELLI PC,Law Firm,,US,DC
54,401106132,"RUBIN, TURNBULL & ASSOCIATES",Public affairs consulting firm.,,US,FL
55,401104982,"AQUIA GROUP, LLC",Legislative Consulting Firm,,US,VA
56,19731,INTERNATIONAL ASSOCIATION OF CHIEFS OF POLICE,,,US,VA
57,290811,MS. ELIZABETH LAVACH,consulting,,US,VA
58,74135,"HEALTH POLICY SOURCE, INC.","Healthcare lobbying, policy, and strategy services for Federal programs",,US,VA
59,57475,ERNST & YOUNG LLP (WASHINGTON COUNCIL ERNST & YOUNG),Professional services firm,,US,DC
60,40012089,SUMMIT HEALTH CARE CONSULTING,health policy consulting,,US,CO
61,401110230,"ROSS TAYLOR & ASSOCIATES, LLC",,,US,AL
62,401108050,SKYLINE CAPITOL LLC,,,US,DC
63,401110199,SINGISER SOLUTIONS LLC,,,US,DC
64,76855,DLA PIPER LLP (US),Law firm.,,US,DC
65,400903639,MABRY PUBLIC AFFAIRS LLC,Governmental Consulting,,US,TX
66,296271,"MINDSET ADVOCACY, LLC",lobbying and consulting,,US,DC
67,401110240,CAPITOL VIEW PARTNERS,,,US,DC
68,401110241,CITY OF SANTA CLARA,,,US,UT
69,400534596,THORN RUN PARTNERS,Government Affairs Firm,,US,DC
70,400275297,CHANGENT (FKA NURSE-FAMILY PARTNERSHIP COLORADO),Supports communities in implementing evidence-based nurse home visitation program,,US,CO
232,401107432,AXADVOCACY GOVERNMENT RELATIONS,,,US,DC
233,401104408,KELLER PARTNERS & COMPANY,Government Affairs Firm,,US,DC
234,46038,"JEFFREY J. KIMBELL & ASSOCIATES, INC.",Consulting Firm,,US,DC
235,401103367,"LEAVITT PARTNERS, LLC",Consulting.,,US,DC
236,86196,FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),Legislative and public affairs firm.,,US,DC
237,401109332,RAGNAR GROUP LLC,,,US,VA
238,401106268,KILEY & ASSOCIATES,Government Affairs,,US,DC
239,10478,CFM STRATEGIC COMMUNICATIONS (CONKLING FISKUM & MCCORMICK),Joint Municipal Water District,,US,DC
240,401109535,GLOBAL SHIELD,,,US,DC
241,401109933,162 STRATEGIES,,,US,MO
242,401110160,FAN DUEL INC.,,,US,NY
243,401109604,RS GROUP CONSULTING LLC,,,US,MT
244,401105150,"MASON STREET CONSULTING, LLC",Lobbying and consulting.,,US,VA
245,401105021,VECTIS DC,federal government relations,,US,DC
246,401104475,"NEALE CREEK, LLC",Legislative and Public Affairs firm,,US,MD
247,401109030,"COVENANT GOVERNMENT AFFAIRS, LLC",,,US,FL
248,283696,"BECKER & POLIAKOFF, P.A.",Law firm,,US,DC
249,401109450,"THE ABECEDARIAN GROUP, LLC",,,US,TX
250,401110100,NEW ADVOCATE INC,,,US,MA
251,401107915,LE ROI CAPITAL - STERLIN & SHARMA LLC,,,US,NY
252,72111,AVENUE SOLUTIONS,Government representation,,US,DC
253,401107574,"ICEBREAKER STRATEGIES, LLC",,,US,VA
254,75557,"CORNERSTONE GOVERNMENT AFFAIRS, INC.",Government relations and consulting.,,US,DC
358,48827,OGR,lobbying firm,,US,DC
255,401104646,"FEDERAL HALL POLICY ADVISORS, LLC",Consulting and advocacy.,,US,DC
256,400275281,"LIBERTY PARTNERS GROUP, LLC",Government Relations Consulting Firm.,,US,DC
257,401108114,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE AND SCIENCE,,,US,IL
258,297033,"TORREY ADVISORY GROUP (FORMERLY MICHAEL TORREY ASSOCIATES, LLC)",Government Relations Firm.,,US,DC
259,35640,"CARPI & CLAY, INC",lobbying firm,,US,DC
260,400703107,"THE GIBSON GROUP, LLC",&#226;€‹Government Affairs Consulting Firm.,,US,DC
261,61174,"DCI GROUP, L.L.C.",Public affairs,,US,DC
262,401108939,CONNECTOR INC.,,,US,TX
263,401109462,LANDMARK CONSULTING SOLUTIONS,,,US,TX
264,400774330,S-3 GROUP,Government consulting firm,,US,DC
265,401104322,"MERCHANT MCINTYRE & ASSOCIATES, LLC",MM is a government relations firm serving nonprofits.,,US,DC
266,20414,"JAMISON AND SULLIVAN, INC.",Govvernment affairs consulting,,US,DC
267,401106373,WHEAT SHROYER GOVERNMENT RELATIONS LLC,lobbying firm,,US,DC
268,16896,"GREENBERG TRAURIG, LLP",Law firm,,US,DC
269,401108299,"DB3, LLC (FKA THE DASCHLE GROUP)",,,US,DC
270,34887,SERVICE EMPLOYEES INTERNATIONAL UNION CTW-CLC,Labor Union,,US,DC
271,401110201,BLUEFORS INC. (FORMERLY KNOWN AS BLUEFORS),,,US,NY
272,400389810,PITTMAN LAW GROUP,,,US,FL
273,401110205,ENGAGE ADVOCACY LLC,,,US,VA
274,401105726,DCM GROUP LLC,Consulting Firm,,US,DC
275,32486,"PUBLIC STRATEGIES WASHINGTON, INC.",Lobbying firm,,US,DC
276,401104716,KLEIN/JOHNSON GROUP,Lobbying firm,,US,DC
277,299913,CARDINAL INFRASTRUCTURE LLC,Transportation and infrastructure lobbying and consulting.,,US,DC
278,400507495,SPIRIT ROCK CONSULTING,Government Affairs.,,US,VA
279,67854,ICE MILLER LLP,law firm,,US,IN
280,401109235,"BACKSTOP STRATEGIES, LLC",,,US,VA
281,401107353,CLASSIFIED POLITICAL CONSULTANTS LLC.,,,US,TN
282,401110248,MAVERICK HILL PARTNERS,,,US,VA
283,401110145,ANCHOR & ARROW LLC,,,US,DC
284,35707,SMITH GARSON FKA SMITH DAWSON & ANDREWS,Government affairs,,US,DC
285,401110076,JUSTIN FRANK,,,US,DC
286,72053,CAPITOL HILL CONSULTING GROUP,Government Relations Firm,,US,DC
287,401107217,ORIGIN ADVOCACY LLC,,,US,VA
288,30906,SQUIRE PATTON BOGGS,Law Firm,,US,DC
289,401110044,ETHAN DURSTELER,,,US,VA
290,401105461,"1607 STRATEGIES, LLC",Private consulting firm.,,US,DC
291,50796,WINNING STRATEGIES WASHINGTON,Government relations firm,,US,DC
292,401106020,LARKIN HOFFMAN,non profit,,US,MN
293,54734,"TOWNSEND PUBLIC AFFAIRS, INC",government affairs,,US,CA
294,23645,"MANATT, PHELPS, AND PHILLIPS",Law firm,,US,DC
295,401108817,THE BISHOP CONSULTING GROUP,,,US,UT
296,2057,ACG ADVOCACY,Government Affairs.,,US,DC
297,401110255,INTERNATIONAL REFUGEE ASSISTANCE PROJECT (IRAP),,,US,NY
298,401108974,"THE ARTEMIS GROUP, LLC (OKLAHOMA)",,,US,OK
299,1182,ALSTON & BIRD LLP,Law Firm,,US,DC
300,401104734,THE VOGEL GROUP,Global lobbying and business advisory firm,,US,DC
301,401106172,"T CAP SOLUTIONS, LLC",Government Affairs Firm,,US,DC
302,401109537,NEXUSONE CONSULTING,,,US,DC
303,305932,"THE PETRIZZO GROUP, INC.",Government Relations and Strategic Communications Firm,,US,DC
304,21632,KING & SPALDING LLP,Law firm,,US,DC
305,401109009,"CORCORAN & ASSOCIATES, INC. DBA CORCORAN PARTNERS",,,US,FL
306,71917,HARTWELL CAPITOL CONSULTING,"Marketing, business development and lobbying.",,US,VA
307,8987,CHESAPEAKE ENTERPRISES,Endless Frontier Act,,US,TX
308,401110286,J BRABANT CAPITOL STRATEGIES,,,US,VA
309,401105227,BRIAN GLACKIN & ASSOCIATES LLC,Government Relations consulting,,US,VA
310,401107294,VALCOUR LLC,,,US,DC
311,401104651,"NORTH STAR STRATEGIES, LLC",Government Relations Firm,,US,KY
312,400421012,BUTLER SNOW LLP,Law firm,,US,MS
313,401108770,CAPITOL PATH CONSULTING LLC FKA CULTON CONSULTING LLC,,,US,WA
314,401109820,CONWAY CAPITOL CONSULTING LLC,,,US,DC
315,40006051,"JBS COMMUNICATIONS, LLC",Government Relations,,US,KY
316,32098,"K&L GATES, LLP",Law firm,,US,DC
317,401110282,MONTICELLO ADVISORY GROUP,,,US,MD
318,401105809,"NEW LANTERN, LLC","Public affairs, corporate social responsibility, and philanthropy consulting firm.",,US,VA
319,401107086,CAPITOL SOLUTIONS LLC (MD),,,US,MD
320,400535604,THE FRIEDLANDER GROUP,consultant,,US,NY
321,34295,"SANDLER, TRAVIS & ROSENBERG, P.A.",Law firm,,US,DC
322,401110292,CAPITOL PRECISION STRATEGIES,,,US,VA
323,313794,THE DLM GROUP,Government Relations,,US,VA
324,401109281,RYAN STRATEGIC LLC,,,US,PA
325,38643,DAVID TURCH & ASSOC.,Government Relations Consulting,,US,DC
326,313271,"AVOQ, LLC",Lobbying firm,,US,DC
327,401106585,LGL ADVISORS LLC,,,US,FL
328,401108441,"GIPPER COMMUNICATIONS, LLC",,,US,NY
329,292458,"FEDERATED HERMES, INC.(FORMERLY KNOWN AS FEDERATED INVESTORS, INC.)",Investment management services,,US,PA
330,401109379,"RAAB GOVERNMENT STRATEGIES, LLC",,,US,VA
331,400886595,THE ROOSEVELT GROUP,Lobbying Firm,,US,DC
332,40013107,THE UNIVERSITY OF TEXAS AT AUSTIN,Director of Federal Affairs for the University of Texas at Austin,,US,TX
333,401109394,"CLARIOS, LLC",,,US,WI
334,401105198,"LANTHEUS HOLDINGS, INC.","Manufacture, marketing, sales and distribution of diagnostic medical imaging agents",,US,MA
335,401105918,"BROWN & WEINRAUB ADVISORS, LLC",Law Firm/Government Relations,,US,NY
336,5131,BAKER & HOSTETLER LLP,Law firm,,US,DC
337,682,AKIN GUMP STRAUSS HAUER & FELD,Law firm,,US,DC
338,401106174,"OLD NORTH STRATEGIES, LLC",government affairs,,US,NC
339,401104340,"GOVERNMENT RELATIONS GROUP, LLC",Government Relations,,US,FL
340,401103144,CAPITOL INTEGRATION,Government Relations Advisory,,US,FL
341,401103834,"THEGROUP DC, LLC",&#226;€‹Consulting and lobbying services.,,US,DC
342,40024191,MR. BRIAN KELLY,Consultant,,US,VA
343,400750245,NATIONAL CANNABIS INDUSTRY ASSOCIATION,Trade Association,,US,DC
344,401107402,"LAKE SHORE STRATEGIES, LLC",,,US,SC
345,401109853,DAUGHERTY STRATEGIES LLC,,,US,WY
346,401109039,CHECKMATE GOVERNMENT RELATIONS,,,US,NC
347,66773,"THE CORMAC GROUP, LLC",Lobbying and consulting,,US,DC
348,292538,"BARKER LEAVITT, PLLC (SKA MR. JAMES C. BARKER)",Law Firm,,US,DC
349,401104750,CHARTWELL STRATEGY GROUP LLC,&#226;€‹&#226;€‹&#226;€‹Public/Government Affairs,,US,DC
350,401029902,JAKE PERRY + PARTNERS,Government Affairs,,US,DC
351,307730,"POLARIS GOVERNMENT RELATIONS, LLC",Government Affairs Firm,,US,VA
352,8670,CENTER ON BUDGET AND POLICY PRIORITIES,,,US,DC
353,292892,"WHITMER & WORRALL, LLC",A government relations and consulting firm.,,US,DC
354,400670003,"LEBLANC GOVERNMENT RELATIONS, LLC",Federal Government Relations,,US,NC
355,401105651,GROUNDSWELL STRATEGY LLC,Consulting firm,,US,VA
356,401103565,MICHAEL BEST STRATEGIES LLC,Government Relations Firm,,US,DC
357,400976792,FORBES-TATE,Government Relations Firm.,,US,DC
359,401108914,RIDGE PATH STRATEGIES,,,US,VA
360,18466,HOLLAND & KNIGHT LLP,Law Firm,,US,DC
361,291572,"RUFFALO AND ASSOCIATES, LLC",government affairs consulting,,US,VA
362,401110224,"TOYOTA TSUSHO AMERICA, INC.",,,US,NY
363,6325,BLANK ROME GOVERNMENT RELATIONS,Government Relations,,US,DC
