id,entity_a_id,entity_b_id,relationship_type,weight,first_seen,last_seen,context_snippets
613845,7508,13927,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Arnold & Porter Kaye Scholer LLP: Samsung Heavy Industries""]"
613846,4522,13928,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Conti Federal Services""]"
613847,4522,13929,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Landover Saturn 5""]"
613848,4522,13930,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Prairie Band LLC""]"
613849,4522,14810,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Qeuk On Behalf Of Palladian Partners, L.P. And Hbk Master Fund L.P.""]"
613850,4522,14811,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Qeuk On Behalf Of Palladian Partners, L.P. And Hbk Master Fund L.P.""]"
613851,14810,14811,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Qeuk On Behalf Of Palladian Partners, L.P. And Hbk Master Fund L.P.""]"
613852,4522,13932,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Stephen Siller Tunnel To Towers Foundation""]"
636016,5323,8444,lobbying_termination,1,2026-01-14 00:00:00,2026-01-14 00:00:00,"[""Acorn Consulting: Origin Materials""]"
636017,5323,8445,lobbying_termination,1,2026-01-14 00:00:00,2026-01-14 00:00:00,"[""Acorn Consulting: Primoris Services Corporation""]"
636018,5323,6414,lobbying_termination,1,2026-01-14 00:00:00,2026-01-14 00:00:00,"[""Acorn Consulting: Samuel Merritt University""]"
636019,5323,8446,lobbying_termination,1,2026-01-14 00:00:00,2026-01-14 00:00:00,"[""Acorn Consulting: Southland Holdings, LLC""]"
636020,5323,8447,lobbying_termination,1,2026-01-14 00:00:00,2026-01-14 00:00:00,"[""Acorn Consulting: Tallgrass""]"
636021,8448,8449,lobbying_termination,2,2026-01-14 00:00:00,2026-01-14 00:00:00,"[""Albertine Enterprises, Inc.: Allegiant Pilots Association, Teamsters Local 2118"", ""Albertine Enterprises, Inc.: Allegiant Pilots Association, Teamsters Local 2118""]"
613853,4522,13933,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Sustainment""]"
613854,4522,13934,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Sword Health""]"
613855,4522,13935,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Bgr Government Affairs: Tiberius Aerospace, Inc.""]"
613856,3801,13936,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Capitol Counsel LLC: Huntington Bancshares Incorporated""]"
613857,7312,13937,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Cassidy & Associates, Inc.: Grist Mill Exchange""]"
613858,7312,13938,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Cassidy & Associates, Inc.: Msmm Engineering""]"
613859,4001,13939,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Continental Strategy, LLC: Nextera Energy""]"
613860,3173,13940,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Cornerstone Government Affairs, Inc.: The United States Pharmacopeial Convention""]"
613861,5075,13941,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Db3, LLC (Fka The Daschle Group): Nava Pbc""]"
613862,3677,13942,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Defazio And Associates Consulting LLC: Animal Wellness Action""]"
613864,7017,13943,lobbying_registration,1,2025-10-10 00:00:00,2025-10-10 00:00:00,"[""Guidepoststrategies, LLC: Aclara Technologies, Inc.""]"
